```
; sudo k3s kubectl get events --sort-by='{.lastTimestamp}'
[sudo] senha para asari:
LAST SEEN   TYPE      REASON                    OBJECT                                            MESSAGE
28m         Normal    Starting                  node/asari
6h48m       Warning   ImageGCFailed             node/asari                                        failed to garbage collect required amount of images. Wanted to free 8572891136 bytes, but freed 0 bytes
6h48m       Warning   FreeDiskSpaceFailed       node/asari                                        failed to garbage collect required amount of images. Wanted to free 8572891136 bytes, but freed 0 bytes
6h43m       Warning   FreeDiskSpaceFailed       node/asari                                        failed to garbage collect required amount of images. Wanted to free 8569978880 bytes, but freed 0 bytes
6h43m       Warning   ImageGCFailed             node/asari                                        failed to garbage collect required amount of images. Wanted to free 8569978880 bytes, but freed 0 bytes
6h38m       Warning   FreeDiskSpaceFailed       node/asari                                        failed to garbage collect required amount of images. Wanted to free 8570191872 bytes, but freed 0 bytes
6h38m       Warning   ImageGCFailed             node/asari                                        failed to garbage collect required amount of images. Wanted to free 8570191872 bytes, but freed 0 bytes
6h33m       Warning   FreeDiskSpaceFailed       node/asari                                        failed to garbage collect required amount of images. Wanted to free 8569454592 bytes, but freed 0 bytes
6h33m       Warning   ImageGCFailed             node/asari                                        failed to garbage collect required amount of images. Wanted to free 8569454592 bytes, but freed 0 bytes
6h28m       Warning   FreeDiskSpaceFailed       node/asari                                        failed to garbage collect required amount of images. Wanted to free 8569802752 bytes, but freed 0 bytes
6h28m       Warning   ImageGCFailed             node/asari                                        failed to garbage collect required amount of images. Wanted to free 8569802752 bytes, but freed 0 bytes
6h23m       Warning   ImageGCFailed             node/asari                                        failed to garbage collect required amount of images. Wanted to free 8569749504 bytes, but freed 0 bytes
6h23m       Warning   FreeDiskSpaceFailed       node/asari                                        failed to garbage collect required amount of images. Wanted to free 8569749504 bytes, but freed 0 bytes
6h18m       Warning   ImageGCFailed             node/asari                                        failed to garbage collect required amount of images. Wanted to free 8569851904 bytes, but freed 0 bytes
5h53m       Warning   FreeDiskSpaceFailed       node/asari                                        (combined from similar events): failed to garbage collect required amount of images. Wanted to free 8661749760 bytes, but freed 0 bytes
5h53m       Warning   ImageGCFailed             node/asari                                        (combined from similar events): failed to garbage collect required amount of images. Wanted to free 8661749760 bytes, but freed 0 bytes
28m         Normal    Starting                  node/asari                                        Starting kubelet.
28m         Warning   InvalidDiskCapacity       node/asari                                        invalid capacity 0 on image filesystem
28m         Normal    NodeHasSufficientMemory   node/asari                                        Node asari status is now: NodeHasSufficientMemory
28m         Normal    NodeHasNoDiskPressure     node/asari                                        Node asari status is now: NodeHasNoDiskPressure
28m         Normal    NodeHasSufficientPID      node/asari                                        Node asari status is now: NodeHasSufficientPID
28m         Normal    NodeAllocatableEnforced   node/asari                                        Updated Node Allocatable limit across pods
28m         Normal    RegisteredNode            node/asari                                        Node asari event: Registered Node asari in Controller
24m         Warning   FailedCreate              job/15.10.2-kube-prometheus-st-admission-create   Error creating: pods "15.10.2-kube-prometheus-st-admission-create-h2wlf" is forbidden: failed quota: compute-resources: must specify limits.cpu,limits.memory,requests.cpu,requests.memory
24m         Warning   FailedCreate              job/15.10.2-kube-prometheus-st-admission-create   Error creating: pods "15.10.2-kube-prometheus-st-admission-create-945vv" is forbidden: failed quota: compute-resources: must specify limits.cpu,limits.memory,requests.cpu,requests.memory
24m         Warning   FailedCreate              job/15.10.2-kube-prometheus-st-admission-create   Error creating: pods "15.10.2-kube-prometheus-st-admission-create-nkz94" is forbidden: failed quota: compute-resources: must specify limits.cpu,limits.memory,requests.cpu,requests.memory
23m         Warning   FailedCreate              job/15.10.2-kube-prometheus-st-admission-create   Error creating: pods "15.10.2-kube-prometheus-st-admission-create-r2bkf" is forbidden: failed quota: compute-resources: must specify limits.cpu,limits.memory,requests.cpu,requests.memory
23m         Warning   FreeDiskSpaceFailed       node/asari                                        failed to garbage collect required amount of images. Wanted to free 8681664512 bytes, but freed 0 bytes
23m         Warning   ImageGCFailed             node/asari                                        failed to garbage collect required amount of images. Wanted to free 8681664512 bytes, but freed 0 bytes
22m         Warning   FailedCreate              job/15.10.2-kube-prometheus-st-admission-create   Error creating: pods "15.10.2-kube-prometheus-st-admission-create-k96gq" is forbidden: failed quota: compute-resources: must specify limits.cpu,limits.memory,requests.cpu,requests.memory
19m         Warning   FailedCreate              job/15.10.2-kube-prometheus-st-admission-create   Error creating: pods "15.10.2-kube-prometheus-st-admission-create-5q4vx" is forbidden: failed quota: compute-resources: must specify limits.cpu,limits.memory,requests.cpu,requests.memory
18m         Warning   FreeDiskSpaceFailed       node/asari                                        failed to garbage collect required amount of images. Wanted to free 8684011520 bytes, but freed 301463 bytes
18m         Warning   ImageGCFailed             node/asari                                        failed to garbage collect required amount of images. Wanted to free 8684011520 bytes, but freed 301463 bytes
14m         Warning   FailedCreate              job/15.10.2-kube-prometheus-st-admission-create   Error creating: pods "15.10.2-kube-prometheus-st-admission-create-5zhd8" is forbidden: failed quota: compute-resources: must specify limits.cpu,limits.memory,requests.cpu,requests.memory
13m         Warning   FreeDiskSpaceFailed       node/asari                                        failed to garbage collect required amount of images. Wanted to free 8684015616 bytes, but freed 0 bytes
13m         Warning   ImageGCFailed             node/asari                                        failed to garbage collect required amount of images. Wanted to free 8684015616 bytes, but freed 0 bytes
8m25s       Warning   FailedCreate              job/15.10.2-kube-prometheus-st-admission-create   Error creating: pods "15.10.2-kube-prometheus-st-admission-create-sc6jt" is forbidden: failed quota: compute-resources: must specify limits.cpu,limits.memory,requests.cpu,requests.memory
8m6s        Warning   FreeDiskSpaceFailed       node/asari                                        failed to garbage collect required amount of images. Wanted to free 8684077056 bytes, but freed 0 bytes
8m6s        Warning   ImageGCFailed             node/asari                                        failed to garbage collect required amount of images. Wanted to free 8684077056 bytes, but freed 0 bytes
3m6s        Warning   FreeDiskSpaceFailed       node/asari                                        failed to garbage collect required amount of images. Wanted to free 8683950080 bytes, but freed 0 bytes
3m6s        Warning   ImageGCFailed             node/asari                                        failed to garbage collect required amount of images. Wanted to free 8683950080 bytes, but freed 0 bytes
2m25s       Warning   FailedCreate              job/15.10.2-kube-prometheus-st-admission-create   Error creating: pods "15.10.2-kube-prometheus-st-admission-create-k6qc9" is forbidden: failed quota: compute-resources: must specify limits.cpu,limits.memory,requests.cpu,requests.memory
;
```
